"ts_code";"symbol";"name";"area";"industry";"fullname";"enname";"market";"exchange";"curr_type";"list_status";"list_date";"delist_date";"is_hs";"live_year"
"605003.SH";"605003";"众望布艺";"浙江";"纺织";"众望布艺股份有限公司";"Zhongwang Fabric Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605005.SH";"605005";"合兴股份";"浙江";"汽车配件";"合兴汽车电子股份有限公司";"CWB Automotive Electronics Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605006.SH";"605006";"山东玻纤";"山东";"玻璃";"山东玻纤集团股份有限公司";"Shandong Fiberglass Group Co., Ltd";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605007.SH";"605007";"五洲特纸";"浙江";"造纸";"衢州五洲特种纸业股份有限公司";"Quzhou Wuzhou Special Paper Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605008.SH";"605008";"长鸿高科";"浙江";"塑料";"宁波长鸿高分子科技股份有限公司";"Ningbo Changhong Polymer Scientific and Technical Inc.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605009.SH";"605009";"豪悦护理";"浙江";"造纸";"杭州豪悦护理用品股份有限公司";"Hangzhou Haoyue Personal Care Co., Ltd";"主板";"SSE";"CNY";"L";"2020";"";"H";"2"
"605011.SH";"605011";"杭州热电";"浙江";"供气供热";"杭州热电集团股份有限公司";"Hangzhou Cogeneration Group Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605016.SH";"605016";"百龙创园";"山东";"食品";"山东百龙创园生物科技股份有限公司";"Shandong Bailong Chuangyuan Bio-Tech Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605018.SH";"605018";"长华股份";"浙江";"汽车配件";"浙江长华汽车零部件股份有限公司";"Zhejiang Changhua Autoparts Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605020.SH";"605020";"永和股份";"浙江";"化工原料";"浙江永和制冷股份有限公司";"Zhejiang Yonghe Refrigerant Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605028.SH";"605028";"世茂能源";"浙江";"供气供热";"宁波世茂能源股份有限公司";"Ningbo Shimao Energy Co.,Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605033.SH";"605033";"美邦股份";"陕西";"农药化肥";"陕西美邦药业集团股份有限公司";"Shaanxi Meibang Pharmaceutical Group Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605050.SH";"605050";"福然德";"上海";"仓储物流";"福然德股份有限公司";"Friend Co.,Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605055.SH";"605055";"迎丰股份";"浙江";"纺织";"浙江迎丰科技股份有限公司";"Zhejiang Yingfeng Technology Co.,Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605056.SH";"605056";"咸亨国际";"浙江";"电器仪表";"咸亨国际科技股份有限公司";"Xianheng International Science&Technology Co., Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
"605058.SH";"605058";"澳弘电子";"江苏";"元器件";"常州澳弘电子股份有限公司";"Changzhou Aohong Electronics Co., Ltd.";"主板";"SSE";"CNY";"L";"2020";"";"N";"2"
"605060.SH";"605060";"联德股份";"浙江";"机械基件";"杭州联德精密机械股份有限公司";"Allied Machinery Co.,Ltd.";"主板";"SSE";"CNY";"L";"2021";"";"N";"1"
