"ppe_ta";"ts_code";"time"
"0.928873";"000069";"2012"
"0.942298";"000069";"2013"
"0.948568";"000069";"2014"
"0.958977";"000069";"2015"
"0.968998";"000069";"2016"
"0.970965";"000069";"2017"
"0.973927";"000069";"2018"
"0.976236";"000069";"2019"
"0.976776";"000069";"2020"
"0.907167";"000070";"2009"
"0.918575";"000070";"2010"
"0.93053";"000070";"2011"
"0.94601";"000070";"2012"
"0.960808";"000070";"2013"
"0.968882";"000070";"2014"
"0.913396";"000070";"2015"
"0.933241";"000070";"2016"
"0.94531";"000070";"2017"
"0.920974";"000070";"2018"
"0.913855";"000070";"2019"
"0.93907";"000070";"2020"
"0.942843";"000078";"2009"
"0.954158";"000078";"2010"
"0.957106";"000078";"2011"
"0.960395";"000078";"2012"
"0.962962";"000078";"2013"
"0.969033";"000078";"2014"
"0.970717";"000078";"2015"
"0.952551";"000078";"2016"
"0.873954";"000078";"2017"
"0.898483";"000078";"2018"
"0.912146";"000078";"2019"
"0.930745";"000078";"2020"
"0.836871";"000088";"2009"
"0.845251";"000088";"2010"
"0.868022";"000088";"2011"
"0.858301";"000088";"2012"
"0.870595";"000088";"2013"
"0.898501";"000088";"2014"
"0.976216";"000088";"2015"
"0.970268";"000088";"2016"
"0.975039";"000088";"2017"
"0.979196";"000088";"2018"
"0.976644";"000088";"2019"
"0.981793";"000088";"2020"
"0.994165";"000090";"2009"
"0.994771";"000090";"2010"
"0.980187";"000090";"2011"
"0.985809";"000090";"2012"
"0.988209";"000090";"2013"
"0.989923";"000090";"2014"
"0.993573";"000090";"2015"
"0.992879";"000090";"2016"
"0.994623";"000090";"2017"
"0.998289";"000090";"2018"
"0.995898";"000090";"2019"
"0.9877";"000090";"2020"
"0.833608";"000096";"2009"
"0.839667";"000096";"2010"
"0.86086";"000096";"2011"
"0.863274";"000096";"2012"
"0.869488";"000096";"2013"
"0.870841";"000096";"2014"
"0.883671";"000096";"2015"
"0.895777";"000096";"2016"
"0.902614";"000096";"2017"
"0.907787";"000096";"2018"
"0.91868";"000096";"2019"
"0.938309";"000096";"2020"
"0.993993";"000099";"2009"
"0.994172";"000099";"2010"
"0.994729";"000099";"2011"
"0.995758";"000099";"2012"
"0.995845";"000099";"2013"
"0.996627";"000099";"2014"
"0.996856";"000099";"2015"
"0.979822";"000099";"2016"
"0.98308";"000099";"2017"
"0.983399";"000099";"2018"
"0.98429";"000099";"2019"
"0.983239";"000099";"2020"
"0.99991";"000150";"2009"
"0.999919";"000150";"2010"
"0.999961";"000150";"2011"
"0.996771";"000150";"2012"
"0.997775";"000150";"2013"
"0.997534";"000150";"2014"
"0.892568";"000150";"2015"
"0.673477";"000150";"2016"
"0.628948";"000150";"2017"
"0.688981";"000150";"2018"
"0.822748";"000150";"2019"
"0.814523";"000150";"2020"
"0.982455";"000151";"2009"
"0.982362";"000151";"2010"
"0.983818";"000151";"2011"
"0.988774";"000151";"2012"
"0.992682";"000151";"2013"
"0.993924";"000151";"2014"
"0.992757";"000151";"2015"
"0.989209";"000151";"2016"
"0.990121";"000151";"2017"
"0.990104";"000151";"2018"
"0.991366";"000151";"2019"
"0.989071";"000151";"2020"
"0.935327";"000153";"2009"
"0.876751";"000153";"2010"
"0.868704";"000153";"2011"
"0.88042";"000153";"2012"
"0.912814";"000153";"2013"
"0.923232";"000153";"2014"
"0.925903";"000153";"2015"
"0.945773";"000153";"2016"
"0.952563";"000153";"2017"
"0.951302";"000153";"2018"
"0.958519";"000153";"2019"
"0.953802";"000153";"2020"
"0.868486";"000157";"2009"
"0.931395";"000157";"2010"
"0.937986";"000157";"2011"
"0.948591";"000157";"2012"
"0.946763";"000157";"2013"
"0.946584";"000157";"2014"
"0.928807";"000157";"2015"
"0.922489";"000157";"2016"
"0.925133";"000157";"2017"
"0.934766";"000157";"2018"
"0.933733";"000157";"2019"
"0.942844";"000157";"2020"
"0.956653";"000158";"2009"
"0.952134";"000158";"2010"
"0.971506";"000158";"2011"
"0.964432";"000158";"2012"
"0.965571";"000158";"2013"
"0.965028";"000158";"2014"
"0.791482";"000158";"2015"
"0.8103";"000158";"2016"
"0.812701";"000158";"2017"
"0.825993";"000158";"2018"
"0.822522";"000158";"2019"
"0.814381";"000158";"2020"
"0.897762";"000159";"2009"
"0.942523";"000159";"2010"
"0.937699";"000159";"2011"
"0.949822";"000159";"2012"
"0.946607";"000159";"2013"
"0.946797";"000159";"2014"
"0.952937";"000159";"2015"
"0.960576";"000159";"2016"
"0.959611";"000159";"2017"
"0.956051";"000159";"2018"
"0.958256";"000159";"2019"
"0.954951";"000159";"2020"
"0.999307";"000166";"2014"
"0.99947";"000166";"2015"
"0.999333";"000166";"2016"
"0.999315";"000166";"2017"
"0.999572";"000166";"2018"
"0.99963";"000166";"2019"
"0.999617";"000166";"2020"
"0.776463";"000301";"2009"
"0.933655";"000301";"2010"
"0.937473";"000301";"2011"
"0.912514";"000301";"2012"
"0.950289";"000301";"2013"
"0.883261";"000301";"2014"
"0.87645";"000301";"2015"
"0.926393";"000301";"2016"
"0.95845";"000301";"2017"
"0.932425";"000301";"2018"
"0.939325";"000301";"2019"
"0.953394";"000301";"2020"
"0.959991";"000338";"2009"
"0.972075";"000338";"2010"
"0.972483";"000338";"2011"
"0.945667";"000338";"2012"
"0.952825";"000338";"2013"
"0.825077";"000338";"2014"
"0.820266";"000338";"2015"
"0.704857";"000338";"2016"
"0.755201";"000338";"2017"
"0.774271";"000338";"2018"
"0.800457";"000338";"2019"
"0.820899";"000338";"2020"
"0.964893";"000401";"2009"
"0.961783";"000401";"2010"
"0.94679";"000401";"2011"
"0.943774";"000401";"2012"
"0.934421";"000401";"2013"
"0.928897";"000401";"2014"
"0.927319";"000401";"2015"
"0.928641";"000401";"2016"
"0.92948";"000401";"2017"
"0.930425";"000401";"2018"
"0.909124";"000401";"2019"
"0.903382";"000401";"2020"
"0.983835";"000402";"2009"
"0.989034";"000402";"2010"
"0.988325";"000402";"2011"
"0.988432";"000402";"2012"
"0.989259";"000402";"2013"
"0.990765";"000402";"2014"
"0.992512";"000402";"2015"
"0.99455";"000402";"2016"
"0.995212";"000402";"2017"
"0.996139";"000402";"2018"
"0.996555";"000402";"2019"
"0.996817";"000402";"2020"
"0.980383";"000404";"2009"
"0.955214";"000404";"2010"
"0.971405";"000404";"2011"
"0.965709";"000404";"2012"
"0.974489";"000404";"2013"
"0.975663";"000404";"2014"
"0.975258";"000404";"2015"
"0.979501";"000404";"2016"
"0.969457";"000404";"2017"
"0.954026";"000404";"2018"
"0.957988";"000404";"2019"
"0.968797";"000404";"2020"
"0.981164";"000407";"2009"
"0.947061";"000407";"2010"
"0.949479";"000407";"2011"
"0.941179";"000407";"2012"
"0.946196";"000407";"2013"
"0.893417";"000407";"2014"
"0.877603";"000407";"2015"
"0.846597";"000407";"2016"
"0.826498";"000407";"2017"
"0.789484";"000407";"2018"
"0.785076";"000407";"2019"
"0.799391";"000407";"2020"
"0.990678";"000408";"2009"
"0.95983";"000408";"2010"
"0.979041";"000408";"2011"
"0.98033";"000408";"2012"
"0.984785";"000408";"2013"
"0.985524";"000408";"2014"
"0.985756";"000408";"2015"
"0.954469";"000408";"2016"
"0.954152";"000408";"2017"
"0.965288";"000408";"2018"
"0.967933";"000408";"2019"
"0.967356";"000408";"2020"
"0.984123";"000411";"2009"
"0.987673";"000411";"2010"
"0.982009";"000411";"2011"
"0.973389";"000411";"2012"
"0.977274";"000411";"2013"
"0.976764";"000411";"2014"
"0.980615";"000411";"2015"
"0.982977";"000411";"2016"
"0.974653";"000411";"2017"
"0.975978";"000411";"2018"
"0.9777";"000411";"2019"
"0.97924";"000411";"2020"
"0.966628";"000413";"2009"
"0.968455";"000413";"2010"
"0.969265";"000413";"2011"
"0.971749";"000413";"2012"
"0.987514";"000413";"2013"
"0.982303";"000413";"2014"
"0.983947";"000413";"2015"
"0.986928";"000413";"2016"
"0.947341";"000413";"2017"
"0.945125";"000413";"2018"
"0.953568";"000413";"2019"
"0.920206";"000413";"2020"
"0.936789";"000415";"2009"
"0.947474";"000415";"2010"
"0.999965";"000415";"2011"
"0.997497";"000415";"2012"
"0.980536";"000415";"2013"
"0.983696";"000415";"2014"
"0.956405";"000415";"2015"
"0.956421";"000415";"2016"
"0.970683";"000415";"2017"
"0.968003";"000415";"2018"
"0.965326";"000415";"2019"
"0.965946";"000415";"2020"
"0.945508";"000416";"2009"
"0.946561";"000416";"2010"
"0.972832";"000416";"2011"
"0.97473";"000416";"2012"
"0.974089";"000416";"2013"
"1";"000416";"2014"
"0.998796";"000416";"2015"
"0.999509";"000416";"2016"
"0.999574";"000416";"2017"
"0.999618";"000416";"2018"
"0.999678";"000416";"2019"
"0.999742";"000416";"2020"
"0.940813";"000421";"2009"
"0.951207";"000421";"2010"
"0.955986";"000421";"2011"
"0.961436";"000421";"2012"
"0.963843";"000421";"2013"
"0.975584";"000421";"2014"
"0.981558";"000421";"2015"
"0.983604";"000421";"2016"
"0.987865";"000421";"2017"
"0.988656";"000421";"2018"
"0.991163";"000421";"2019"
"0.990758";"000421";"2020"
"0.959693";"000423";"2009"
"0.964221";"000423";"2010"
"0.965201";"000423";"2011"
"0.971381";"000423";"2012"
"0.969035";"000423";"2013"
"0.968852";"000423";"2014"
