"education_val";"time";"province"
"0.0614442264993938";"2011";"河南"
"0.059172288929449125";"2010";"河南"
"0.05155329060818984";"2009";"河南"
"0.047173176386659535";"2008";"河南"
"0.040439752639140486";"2007";"河南"
"0.041363467030920156";"2006";"河南"
"0.042187259186504254";"2005";"河南"
"0.04420827210698379";"2004";"河南"
"0.03200153842673243";"2003";"河南"
"0.04297646337865135";"2002";"河南"
"0.1436846566826787";"2019";"黑龙江"
"0.1388981747676673";"2018";"黑龙江"
"0.1338070059484468";"2017";"黑龙江"
"0.13473500064792018";"2016";"黑龙江"
"0.13283575047227267";"2015";"黑龙江"
"0.12351136476099363";"2014";"黑龙江"
"0.1224408928807291";"2013";"黑龙江"
"0.10105201254573967";"2012";"黑龙江"
"0.09417370171399335";"2011";"黑龙江"
"0.08337217293735946";"2010";"黑龙江"
"0.06545644428062415";"2009";"黑龙江"
"0.059732110534572225";"2008";"黑龙江"
"0.0639988098780125";"2007";"黑龙江"
"0.0611006363422107";"2006";"黑龙江"
"0.06419392851130688";"2005";"黑龙江"
"0.04677016366749951";"2004";"黑龙江"
"0.04902342663179567";"2003";"黑龙江"
"0.04865720554336657";"2002";"黑龙江"
"0.14704243662364194";"2019";"湖北"
"0.15564425430568726";"2018";"湖北"
"0.1620059985885674";"2017";"湖北"
"0.13924876097730632";"2016";"湖北"
"0.14986930311523758";"2015";"湖北"
"0.1142991428123811";"2014";"湖北"
"0.1192017259978425";"2013";"湖北"
"0.12223724755592011";"2012";"湖北"
"0.110383679312813";"2011";"湖北"
"0.09153870812832951";"2010";"湖北"
"0.07632664971445245";"2009";"湖北"
"0.08075520886372431";"2008";"湖北"
"0.08157233336684427";"2007";"湖北"
"0.07712465011017808";"2006";"湖北"
"0.050749487428358844";"2005";"湖北"
"0.057828735220351125";"2004";"湖北"
"0.05436827718413859";"2003";"湖北"
"0.03857756326081556";"2002";"湖北"
"0.13214091266560465";"2019";"湖南"
"0.11879037219317133";"2018";"湖南"
"0.11812767257177764";"2017";"湖南"
"0.11646170361023749";"2016";"湖南"
"0.11890701119174188";"2015";"湖南"
"0.09199229016996671";"2014";"湖南"
"0.08497857436359012";"2013";"湖南"
"0.07336738488033034";"2012";"湖南"
"0.0701900059671614";"2011";"湖南"
"0.07159834476243401";"2010";"湖南"
"0.06138464440671571";"2009";"湖南"
"0.0650907274846013";"2008";"湖南"
"0.06167641751872711";"2007";"湖南"
"0.05069368382621395";"2006";"湖南"
"0.04489552407684326";"2005";"湖南"
"0.052201185569549585";"2004";"湖南"
"0.04700987190992902";"2003";"湖南"
"0.043460568080084645";"2002";"湖南"
"0.12942582540710124";"2019";"吉林"
"0.1358257507896846";"2018";"吉林"
"0.1481967213114754";"2017";"吉林"
"0.14149130832570905";"2016";"吉林"
"0.13168380651021067";"2015";"吉林"
"0.11881826980688574";"2014";"吉林"
"0.11561146438116303";"2013";"吉林"
"0.08968301298224689";"2012";"吉林"
"0.088819657469928";"2011";"吉林"
"0.087840226522817";"2010";"吉林"
"0.08219472372604623";"2009";"吉林"
"0.07567316620241411";"2008";"吉林"
"0.07490166541133149";"2007";"吉林"
"0.07020313213974162";"2006";"吉林"
"0.06676511440894803";"2005";"吉林"
"0.06846939177736608";"2004";"吉林"
"0.064220901126408";"2003";"吉林"
"0.06498039215686274";"2002";"吉林"
"0.17558324586056276";"2019";"江苏"
"0.14924581095423406";"2018";"江苏"
"0.17286673212819728";"2017";"江苏"
"0.166123933728337";"2016";"江苏"
"0.16419060129659224";"2015";"江苏"
"0.14278988977451665";"2014";"江苏"
"0.13729880581516096";"2013";"江苏"
"0.13454925277197494";"2012";"江苏"
"0.110554636413771";"2011";"江苏"
"0.09841724797839213";"2010";"江苏"
"0.07764771720374948";"2009";"江苏"
"0.07043133668648072";"2008";"江苏"
"0.08115111838516094";"2007";"江苏"
"0.07237428101269645";"2006";"江苏"
"0.06800406902877476";"2005";"江苏"
"0.04922313617965792";"2004";"江苏"
"0.049637134439893656";"2003";"江苏"
"0.03825600990968931";"2002";"江苏"
"0.12141838069195102";"2019";"江西"
"0.09911112373271234";"2018";"江西"
"0.08433012646664192";"2017";"江西"
"0.08976097643668418";"2016";"江西"
"0.10570921561223018";"2015";"江西"
"0.08149074828348656";"2014";"江西"
"0.09389725987550178";"2013";"江西"
"0.0828578083148946";"2012";"江西"
"0.07252137607595299";"2011";"江西"
"0.06633532111703014";"2010";"江西"
"0.06857030768368548";"2009";"江西"
"0.06392580287929125";"2008";"江西"
"0.07220671155635847";"2007";"江西"
"0.04740891916489699";"2006";"江西"
"0.03853041229047905";"2005";"江西"
"0.04673164392462638";"2004";"江西"
"0.062827632739918";"2003";"江西"
"0.029072655494261287";"2002";"江西"
"0.17150063051702397";"2019";"辽宁"
"0.16648730403420495";"2018";"辽宁"
"0.17339433601667922";"2017";"辽宁"
"0.1801906930411271";"2016";"辽宁"
