"ts_code";"bigdata_num";"data_warehouse";"cloud_computing";"information_assets";"digitization";"ann_date";"year"
"000507";"0";"0";"0";"0";"0";"2017";"2017"
"000507";"0";"0";"0";"0";"0";"2018";"2018"
"603351";"0";"0";"0";"0";"0";"2018";"2018"
"600787";"0";"0";"0";"0";"0";"2015";"2015"
"600597";"0";"0";"0";"0";"0";"2018";"2018"
"603351";"0";"0";"0";"0";"0";"2019";"2019"
"603355";"0";"0";"0";"0";"0";"2015";"2015"
"603355";"0";"0";"0";"0";"0";"2016";"2016"
"603355";"0";"0";"0";"0";"0";"2017";"2017"
"603355";"0";"0";"0";"0";"0";"2018";"2018"
"600597";"0";"0";"0";"0";"0";"2019";"2019"
"600598";"0";"0";"0";"0";"0";"2009";"2009"
"600787";"0";"0";"0";"0";"0";"2018";"2018"
"600598";"0";"0";"0";"0";"0";"2010";"2010"
"600598";"0";"0";"0";"0";"0";"2011";"2011"
"603355";"2";"0";"0";"0";"0";"2019";"2019"
"603355";"0";"0";"0";"0";"1";"2020";"2020"
"600598";"0";"0";"0";"0";"0";"2012";"2012"
"600598";"0";"0";"0";"0";"0";"2013";"2013"
"600787";"0";"0";"0";"0";"0";"2019";"2019"
"600598";"0";"0";"0";"0";"1";"2014";"2014"
"600789";"0";"0";"0";"0";"0";"2009";"2009"
"603356";"0";"0";"0";"0";"0";"2017";"2017"
"603356";"0";"0";"0";"0";"0";"2018";"2018"
"600789";"0";"0";"0";"0";"0";"2010";"2010"
"600789";"0";"0";"0";"0";"0";"2011";"2011"
"600789";"0";"0";"0";"0";"0";"2012";"2012"
"600598";"0";"0";"0";"0";"0";"2015";"2015"
"600598";"0";"0";"0";"0";"0";"2016";"2016"
"600598";"0";"0";"0";"0";"0";"2017";"2017"
"600789";"0";"0";"0";"0";"0";"2013";"2013"
"603356";"0";"0";"0";"0";"0";"2019";"2019"
"600789";"0";"0";"0";"0";"0";"2014";"2014"
"603357";"0";"0";"0";"0";"0";"2017";"2017"
"603357";"0";"0";"0";"0";"0";"2018";"2018"
"600598";"0";"0";"0";"0";"0";"2018";"2018"
"600789";"0";"0";"0";"0";"0";"2015";"2015"
"600789";"0";"0";"0";"0";"0";"2016";"2016"
"600789";"0";"0";"0";"0";"0";"2017";"2017"
"603357";"0";"0";"0";"0";"0";"2019";"2019"
"600598";"0";"0";"0";"0";"0";"2019";"2019"
"603358";"0";"0";"0";"0";"0";"2016";"2016"
"603358";"0";"0";"0";"0";"0";"2017";"2017"
"603358";"0";"0";"0";"0";"0";"2018";"2018"
"600789";"0";"0";"0";"0";"0";"2019";"2019"
"600790";"0";"0";"0";"0";"0";"2009";"2009"
"600790";"0";"0";"0";"0";"0";"2010";"2010"
"600790";"0";"0";"0";"0";"0";"2011";"2011"
"603358";"0";"0";"0";"0";"0";"2019";"2019"
"603358";"0";"0";"0";"0";"0";"2020";"2020"
"603359";"0";"0";"0";"0";"0";"2017";"2017"
"603359";"0";"0";"0";"0";"0";"2018";"2018"
"600790";"0";"0";"0";"0";"0";"2012";"2012"
"600790";"0";"0";"0";"0";"0";"2013";"2013"
"600790";"0";"0";"0";"0";"0";"2014";"2014"
"600600";"0";"0";"0";"0";"0";"2009";"2009"
"600600";"0";"0";"0";"0";"0";"2010";"2010"
"603359";"0";"0";"0";"0";"0";"2019";"2019"
"600790";"0";"0";"0";"0";"0";"2015";"2015"
"600600";"0";"0";"0";"0";"0";"2011";"2011"
"600600";"0";"0";"0";"0";"0";"2012";"2012"
"600600";"0";"0";"0";"0";"0";"2013";"2013"
"603360";"0";"0";"0";"0";"0";"2016";"2016"
"600790";"0";"0";"0";"0";"0";"2016";"2016"
"600600";"0";"0";"0";"0";"0";"2014";"2014"
