"assets";"ts_code";"time"
"7071611929.24";"000400";"2012"
"5754829995.41";"000400";"2011"
"4605039486.08";"000400";"2010"
"4740102515.78";"000400";"2009"
"61993306496.74";"000401";"2019"
"41034310358.39";"000401";"2018"
"41480045870.16";"000401";"2017"
"41281233837.78";"000401";"2016"
"44054273385.35";"000401";"2015"
"43094221420.67";"000401";"2014"
"41504031304.72";"000401";"2013"
"38075212933.5";"000401";"2012"
"30252312683.55";"000401";"2011"
"21617321948.63";"000401";"2010"
"12736836602.6";"000401";"2009"
"148526839072.15";"000402";"2019"
"125215578495.76";"000402";"2018"
"112835514687.26";"000402";"2017"
"105678675860.28";"000402";"2016"
"87587439628.34";"000402";"2015"
"76070576432.56";"000402";"2014"
"70030327731.72";"000402";"2013"
"59722101913.34";"000402";"2012"
"54168114471.42";"000402";"2011"
"42354053359.71";"000402";"2010"
"27498775723.91";"000402";"2009"
"1317556724.19";"000403";"2019"
"1320579833.88";"000403";"2018"
"1243318051.17";"000403";"2017"
"1265309163.03";"000403";"2016"
"1193805924.67";"000403";"2015"
"1187156351.99";"000403";"2014"
"1067946323.61";"000403";"2013"
"960804959.44";"000403";"2012"
"925413645.16";"000403";"2011"
"1251795177.02";"000403";"2010"
"1214774523.14";"000403";"2009"
"10093935740.87";"000404";"2019"
"9978196827.9";"000404";"2018"
"8102493985.32";"000404";"2017"
"6970502586.82";"000404";"2016"
"6604536574.6";"000404";"2015"
"6365417144.74";"000404";"2014"
"4729122970.09";"000404";"2013"
"4216610246.18";"000404";"2012"
"3592170311.44";"000404";"2011"
"2695517028.47";"000404";"2010"
"2078785360.51";"000404";"2009"
"6427026617.39";"000407";"2019"
"5045105272.69";"000407";"2018"
"4302560924.07";"000407";"2017"
"4151646858.11";"000407";"2016"
"4102803662.26";"000407";"2015"
"3491059591.14";"000407";"2014"
"3175201434.45";"000407";"2013"
"3133954910.61";"000407";"2012"
"3114748532.13";"000407";"2011"
"2409090202.59";"000407";"2010"
"2096832388.83";"000407";"2009"
"9385461410.01";"000408";"2019"
"7744622344.49";"000408";"2018"
"7360720237.46";"000408";"2017"
