"tuobinQ";"ts_code";"time"
"1.438423";"000070";"2011"
"1.323478";"000070";"2012"
"1.619665";"000070";"2013"
"2.683133";"000070";"2015"
"2.002546";"000070";"2016"
"1.494684";"000070";"2017"
"1.214334";"000070";"2018"
"1.69243";"000070";"2019"
"3.210875";"000078";"2009"
"2.65675";"000078";"2010"
"1.667265";"000078";"2011"
"1.466727";"000078";"2012"
"1.403793";"000078";"2013"
"1.556426";"000078";"2014"
"2.207397";"000078";"2015"
"1.451624";"000078";"2016"
"1.207858";"000078";"2017"
"1.012427";"000078";"2018"
"1.056568";"000078";"2019"
"1.393732";"000088";"2009"
"1.199853";"000088";"2010"
"1.465027";"000088";"2011"
"1.561107";"000088";"2012"
"2.189031";"000088";"2013"
"2.999316";"000088";"2014"
"2.354232";"000088";"2015"
"1.892425";"000088";"2016"
"1.841356";"000088";"2017"
"1.190785";"000088";"2018"
"1.249985";"000088";"2019"
"1.500523";"000089";"2009"
"1.206452";"000089";"2010"
"1.01425";"000089";"2011"
"0.919065";"000089";"2012"
"0.958888";"000089";"2013"
"1.148808";"000089";"2014"
"1.541977";"000089";"2015"
"1.455617";"000089";"2016"
"1.504814";"000089";"2017"
"1.320975";"000089";"2018"
"1.567472";"000089";"2019"
"1.457156";"000090";"2009"
"1.069869";"000090";"2010"
"1.007752";"000090";"2011"
"1.068914";"000090";"2012"
"1.034923";"000090";"2013"
"1.356228";"000090";"2014"
"1.326284";"000090";"2015"
"1.175256";"000090";"2016"
"1.136135";"000090";"2017"
"0.933024";"000090";"2018"
"1.006021";"000090";"2019"
"2.295586";"000096";"2009"
"1.908516";"000096";"2010"
"1.191468";"000096";"2011"
"1.108289";"000096";"2012"
"1.437226";"000096";"2013"
"2.09062";"000096";"2014"
"4.068164";"000096";"2015"
"3.193899";"000096";"2016"
"2.734973";"000096";"2017"
"1.871667";"000096";"2018"
"2.077924";"000096";"2019"
"1.526941";"000099";"2009"
"1.882658";"000099";"2010"
"1.733849";"000099";"2011"
"1.552595";"000099";"2012"
"1.612857";"000099";"2013"
"2.259485";"000099";"2014"
"2.238187";"000099";"2015"
"1.862617";"000099";"2016"
"1.427522";"000099";"2017"
"1.038031";"000099";"2018"
"1.185577";"000099";"2019"
"1.186693";"000100";"2009"
"0.956049";"000100";"2010"
"0.9533";"000100";"2011"
"0.980421";"000100";"2012"
"0.999027";"000100";"2013"
"1.08394";"000100";"2014"
"1.095224";"000100";"2015"
"0.972744";"000100";"2016"
"0.994039";"000100";"2017"
"0.875775";"000100";"2018"
"0.980635";"000100";"2019"
"1.852315";"000150";"2009"
"1.897128";"000150";"2010"
"1.246238";"000150";"2011"
"1.521625";"000150";"2012"
"1.354469";"000150";"2013"
"2.905956";"000150";"2014"
"3.445575";"000150";"2015"
"2.24191";"000150";"2016"
"2.24506";"000150";"2017"
"1.745029";"000150";"2018"
"1.507925";"000150";"2019"
"2.201976";"000151";"2009"
"3.288118";"000151";"2010"
"2.279326";"000151";"2011"
"1.607056";"000151";"2012"
"1.427256";"000151";"2013"
"2.418921";"000151";"2014"
"3.318199";"000151";"2015"
"3.089572";"000151";"2016"
"2.107752";"000151";"2017"
"1.847471";"000151";"2018"
"1.812912";"000151";"2019"
"1.875153";"000153";"2009"
"2.287727";"000153";"2010"
"1.546295";"000153";"2011"
"1.557394";"000153";"2012"
"1.51811";"000153";"2013"
"2.150185";"000153";"2014"
"2.152123";"000153";"2016"
"1.457748";"000153";"2017"
"1.111594";"000153";"2018"
"1.206693";"000153";"2019"
"1.705985";"000155";"2009"
"1.466755";"000155";"2010"
"1.171414";"000155";"2011"
"1.129157";"000155";"2012"
"1.25005";"000155";"2013"
"4.066127";"000155";"2014"
"9.334334";"000155";"2015"
"1.433057";"000155";"2017"
"1.079989";"000155";"2018"
"1.176232";"000155";"2019"
"1.18244";"000156";"2012"
"1.262443";"000156";"2013"
"1.48699";"000156";"2014"
"2.136494";"000156";"2015"
"1.768537";"000156";"2016"
"1.286671";"000156";"2017"
"1.043666";"000156";"2018"
"1.225043";"000156";"2019"
"1.520424";"000157";"2009"
"1.623942";"000157";"2010"
"1.268704";"000157";"2011"
"1.272536";"000157";"2012"
"0.999509";"000157";"2013"
"1.114008";"000157";"2014"
"1.003436";"000157";"2015"
"0.972495";"000157";"2016"
"0.967453";"000157";"2017"
"0.905477";"000157";"2018"
"1.114217";"000157";"2019"
"2.023919";"000158";"2009"
"1.510514";"000158";"2010"
"1.085692";"000158";"2011"
"1.001624";"000158";"2012"
"1.092438";"000158";"2013"
"1.79596";"000158";"2014"
"2.05624";"000158";"2015"
"1.477409";"000158";"2016"
"1.341453";"000158";"2017"
"1.17617";"000158";"2018"
"1.345606";"000158";"2019"
"2.455189";"000159";"2009"
"2.712804";"000159";"2010"
"1.591847";"000159";"2011"
"1.338222";"000159";"2012"
"1.47365";"000159";"2013"
"1.912982";"000159";"2014"
"1.777617";"000159";"2015"
"1.605106";"000159";"2016"
"1.145125";"000159";"2017"
"0.959474";"000159";"2018"
"1.195518";"000159";"2019"
"1.070946";"000166";"2015"
"1.092875";"000166";"2016"
"1.062447";"000166";"2017"
"1.052459";"000166";"2018"
"1.100462";"000166";"2019"
"2.56072";"000301";"2009"
"1.980078";"000301";"2010"
"1.262114";"000301";"2011"
"1.298644";"000301";"2012"
"1.261447";"000301";"2013"
"1.776866";"000301";"2014"
"2.041255";"000301";"2015"
"1.614158";"000301";"2016"
"1.652058";"000301";"2017"
"1.125006";"000301";"2018"
"1.048065";"000301";"2019"
"1.189904";"000333";"2013"
"1.30935";"000333";"2014"
"1.342366";"000333";"2015"
"1.633562";"000333";"2016"
"2.095017";"000333";"2017"
"1.562965";"000333";"2018"
"1.965482";"000333";"2019"
"1.354184";"000338";"2009"
"1.508038";"000338";"2010"
"1.158922";"000338";"2011"
"1.120109";"000338";"2012"
"1.022636";"000338";"2013"
"1.05956";"000338";"2014"
"0.985881";"000338";"2015"
"0.984405";"000338";"2016"
"1.029427";"000338";"2017"
"0.998213";"000338";"2018"
"1.127001";"000338";"2019"
"1.923081";"000400";"2009"
"2.192424";"000400";"2010"
"1.431514";"000400";"2011"
"1.621203";"000400";"2012"
"2.114941";"000400";"2013"
"1.777708";"000400";"2014"
