"edu";"ts_code";"time"
"3.4782608695652173";"000063.SZ";"2015"
"3.35";"000063.SZ";"2016"
"3";"000063.SZ";"2017"
"2.7058823529411766";"000063.SZ";"2018"
"2.8333333333333335";"000063.SZ";"2019"
"2.8333333333333335";"000063.SZ";"2020"
"2.75";"000065.SZ";"2009"
"2.75";"000065.SZ";"2010"
"2.727272727272727";"000065.SZ";"2011"
"3";"000065.SZ";"2012"
"2";"000065.SZ";"2013"
"3";"000065.SZ";"2014"
"3.6666666666666665";"000065.SZ";"2015"
"3.6666666666666665";"000065.SZ";"2016"
"3.727272727272727";"000065.SZ";"2017"
"2.4285714285714284";"000065.SZ";"2018"
"2";"000065.SZ";"2019"
"2";"000065.SZ";"2020"
"2.611111111111111";"000066.SZ";"2009"
"2.5454545454545454";"000066.SZ";"2010"
"2.5454545454545454";"000066.SZ";"2011"
"2.888888888888889";"000066.SZ";"2012"
"2.888888888888889";"000066.SZ";"2013"
"3.5";"000066.SZ";"2014"
"3.5";"000066.SZ";"2015"
"2.9545454545454546";"000066.SZ";"2016"
"2.5";"000066.SZ";"2017"
"3";"000066.SZ";"2018"
"2.857142857142857";"000066.SZ";"2019"
"2.857142857142857";"000066.SZ";"2020"
"2.4833333333333334";"000068.SZ";"2009"
"2";"000068.SZ";"2010"
"2";"000068.SZ";"2011"
"3";"000068.SZ";"2012"
"3.225";"000068.SZ";"2013"
"2.8";"000068.SZ";"2014"
"3";"000068.SZ";"2015"
"3";"000068.SZ";"2016"
"2";"000068.SZ";"2017"
"2";"000068.SZ";"2018"
"2.6666666666666665";"000068.SZ";"2019"
"2.6666666666666665";"000068.SZ";"2020"
"2.4545454545454546";"000069.SZ";"2009"
"2.575";"000069.SZ";"2010"
"2";"000069.SZ";"2011"
"1";"000069.SZ";"2012"
"2.9375";"000069.SZ";"2013"
"2.7142857142857144";"000069.SZ";"2014"
"2.6";"000069.SZ";"2015"
"2.6";"000069.SZ";"2016"
"3";"000069.SZ";"2017"
"2.6666666666666665";"000069.SZ";"2018"
"2";"000069.SZ";"2019"
"2";"000069.SZ";"2020"
"2.7586206896551726";"000070.SZ";"2009"
"2.625";"000070.SZ";"2010"
"4";"000070.SZ";"2011"
"2.6363636363636362";"000070.SZ";"2012"
"2";"000070.SZ";"2013"
"3";"000070.SZ";"2014"
"3";"000070.SZ";"2015"
"3";"000070.SZ";"2016"
"2.25";"000070.SZ";"2017"
"3.0625";"000070.SZ";"2018"
"3.0625";"000070.SZ";"2019"
"3.0625";"000070.SZ";"2020"
"3.25";"000078.SZ";"2009"
"3.13953488372093";"000078.SZ";"2010"
"3.13953488372093";"000078.SZ";"2011"
"3";"000078.SZ";"2012"
"3.7333333333333334";"000078.SZ";"2013"
"2.75";"000078.SZ";"2014"
"2.75";"000078.SZ";"2015"
"3.272727272727273";"000078.SZ";"2016"
"3";"000078.SZ";"2017"
"3";"000078.SZ";"2018"
"3";"000078.SZ";"2019"
"3";"000078.SZ";"2020"
"2.9047619047619047";"000088.SZ";"2009"
"3.0833333333333335";"000088.SZ";"2010"
"3.5";"000088.SZ";"2011"
"2.5";"000088.SZ";"2012"
"2.6666666666666665";"000088.SZ";"2013"
"2.7142857142857144";"000088.SZ";"2014"
"2.7142857142857144";"000088.SZ";"2015"
"3.3333333333333335";"000088.SZ";"2016"
"3.0277777777777777";"000088.SZ";"2017"
"2";"000088.SZ";"2018"
"3.5";"000088.SZ";"2019"
"3.5";"000088.SZ";"2020"
"2.85";"000089.SZ";"2009"
"2.870967741935484";"000089.SZ";"2010"
"3";"000089.SZ";"2011"
"2.75";"000089.SZ";"2012"
"2.75";"000089.SZ";"2013"
"3.3846153846153846";"000089.SZ";"2014"
"2.5454545454545454";"000089.SZ";"2015"
"2.5555555555555554";"000089.SZ";"2016"
"2.8095238095238093";"000089.SZ";"2017"
"2.625";"000089.SZ";"2018"
"3.5714285714285716";"000089.SZ";"2019"
"3.5714285714285716";"000089.SZ";"2020"
"2.72";"000090.SZ";"2009"
"3";"000090.SZ";"2010"
"3";"000090.SZ";"2011"
"3";"000090.SZ";"2012"
"3.6666666666666665";"000090.SZ";"2013"
"3";"000090.SZ";"2014"
"3";"000090.SZ";"2015"
"3";"000090.SZ";"2016"
"3.4444444444444446";"000090.SZ";"2017"
"2.8";"000090.SZ";"2018"
"4";"000090.SZ";"2019"
"4";"000090.SZ";"2020"
"2.375";"000096.SZ";"2009"
"3";"000096.SZ";"2010"
"3";"000096.SZ";"2011"
"2.896551724137931";"000096.SZ";"2012"
"2.1818181818181817";"000096.SZ";"2013"
"3";"000096.SZ";"2014"
"2.7857142857142856";"000096.SZ";"2015"
"3";"000096.SZ";"2016"
"3";"000096.SZ";"2017"
"2.6666666666666665";"000096.SZ";"2018"
"2.6666666666666665";"000096.SZ";"2019"
"2.6666666666666665";"000096.SZ";"2020"
"2.3666666666666667";"000099.SZ";"2009"
"2.3666666666666667";"000099.SZ";"2010"
"2.466666666666667";"000099.SZ";"2011"
"2.6666666666666665";"000099.SZ";"2012"
"2.3076923076923075";"000099.SZ";"2013"
"2.7777777777777777";"000099.SZ";"2014"
"2.4545454545454546";"000099.SZ";"2015"
"2.4";"000099.SZ";"2016"
"2.657142857142857";"000099.SZ";"2017"
"3";"000099.SZ";"2018"
"3";"000099.SZ";"2019"
"3";"000099.SZ";"2020"
"2.6";"000100.SZ";"2009"
"3.25";"000100.SZ";"2010"
"3.1470588235294117";"000100.SZ";"2011"
"3.25";"000100.SZ";"2012"
"2.75";"000100.SZ";"2013"
"3.28";"000100.SZ";"2014"
"2.3";"000100.SZ";"2015"
"2.3";"000100.SZ";"2016"
"3.2";"000100.SZ";"2017"
"3";"000100.SZ";"2018"
"3";"000100.SZ";"2019"
"3";"000100.SZ";"2020"
"1.6875";"000150.SZ";"2009"
"2.1923076923076925";"000150.SZ";"2010"
"1";"000150.SZ";"2011"
"1";"000150.SZ";"2012"
"1";"000150.SZ";"2013"
"2.7857142857142856";"000150.SZ";"2014"
"2.5";"000150.SZ";"2015"
"1.6363636363636365";"000150.SZ";"2016"
"2";"000150.SZ";"2017"
"3.3333333333333335";"000150.SZ";"2018"
"2";"000150.SZ";"2019"
"2";"000150.SZ";"2020"
"2.6875";"000151.SZ";"2009"
"2.5";"000151.SZ";"2010"
"3";"000151.SZ";"2011"
"2.7";"000151.SZ";"2012"
"2.1739130434782608";"000151.SZ";"2013"
"2.0454545454545454";"000151.SZ";"2014"
"1.2857142857142858";"000151.SZ";"2015"
"2.4";"000151.SZ";"2016"
"2.8846153846153846";"000151.SZ";"2017"
"2.5";"000151.SZ";"2018"
"2.125";"000151.SZ";"2019"
"2.125";"000151.SZ";"2020"
"2.142857142857143";"000153.SZ";"2009"
